CNT  SHA    X    Y  RAD  RX  RY   W   H    R    G    B    OP  
  0    2  344  446   28  21  25  55  17   40  134   71  0.56  
  1    2  718  569   57  12  25  54  67  153  215  237   0.6  
  2    1  218  120   18  21  22  23  44  139  144   57  0.07  
  3    2  502  257   34  10  10  14  40   68   35  138  0.27  
  4    0  490  919   56  24  27  33  25  138   99   71  0.28  
  5    0  307  752   23  15  26  65  42  210  181  106  0.72  
  6    2  186  590   50  17  17  43  48  107  173  127  0.12  
  7    2  755  846   33  14  27  51  77  230  122  160   0.5  
  8    2  873  550   86  18  18  74  76  145  133  123  0.45  
  9    1  555  110   97  22  23  54  44  241  178   59  0.53  
